Offset-raw,filename,ConnSpanList
when,talk_1971_en,294..298
when,talk_1971_en,461..465
if,talk_1971_en,1830..1832
and,talk_2150_en_inter,168..171
but,talk_2150_en_inter,303..306
because,talk_2150_en_inter,1146..1153
as,talk_2150_en_inter,1163..1165
though,talk_2150_en_inter,1166..1172
because,talk_2150_en_inter,1263..1270
and,talk_2150_en_inter,2259..2262
and,talk_2150_en_inter,3042..3045
and,talk_2150_en_inter,3777..3780
and,talk_2150_en_inter,4014..4017
and,talk_2150_en_inter,4071..4074
as,talk_2150_en_inter,4129..4131
and,talk_2150_en_inter,4647..4650
as,talk_2150_en_inter,4665..4667
and,talk_2150_en_inter,4706..4709
if,talk_2150_en_inter,5104..5106
if,talk_2150_en_inter,5371..5373
and,talk_2150_en_inter,5650..5653
if,talk_2150_en_inter,5669..5671
and,talk_1978_en,945..948
when,talk_1978_en,1087..1091
as,talk_1978_en,2165..2167
while,talk_1978_en,2232..2237
when,talk_1978_en,5427..5431
when,talk_1978_en,6116..6120
because,talk_1978_en,6899..6906
when,talk_1978_en,7747..7751
when,talk_1978_en,8037..8041
if,talk_1978_en,9125..9127
if,talk_1978_en,9429..9431
if,talk_1976_en,2928..2930
as,talk_1976_en,6404..6406
if,talk_1976_en,6642..6644
when,talk_1976_en,6884..6888
as,talk_2009_en,788..790
so,talk_2009_en,3790..3792
when,talk_1927_en,234..238
and,talk_1927_en,2265..2268
as,talk_1927_en,4874..4876
and,talk_1927_en,6196..6199
if,talk_1927_en,8323..8325
and,talk_2150_en_intra,169..172
as,talk_2150_en_intra,1164..1166
though,talk_2150_en_intra,1167..1173
because,talk_2150_en_intra,1264..1271
and,talk_2150_en_intra,3778..3781
and,talk_2150_en_intra,4015..4018
as,talk_2150_en_intra,4130..4132
as,talk_2150_en_intra,4666..4668
