Offset-raw,filename,ConnSpanList
if,talk_1978_en,485..487
because,talk_1978_en,774..781
as,talk_1978_en,1507..1509
as,talk_1978_en,1755..1757
as,talk_1978_en,1949..1951
because,talk_1978_en,3036..3043
if,talk_1978_en,3226..3228
because,talk_1978_en,5688..5695
if,talk_1978_en,7048..7050
if,talk_1978_en,7161..7163
because,talk_1978_en,7963..7970
because,talk_1978_en,8428..8435
when,talk_1978_en,9350..9354
as,talk_2009_en,819..821
and,talk_2009_en,1266..1269
because,talk_2009_en,3233..3240
but,talk_2150_en_intra,304..307
because,talk_2150_en_intra,1147..1154
and,talk_2150_en_intra,2260..2263
and,talk_2150_en_intra,3043..3046
and,talk_2150_en_intra,4072..4075
and,talk_2150_en_intra,4648..4651
and,talk_2150_en_intra,4707..4710
if,talk_2150_en_intra,5105..5107
if,talk_2150_en_intra,5372..5374
and,talk_2150_en_intra,5651..5654
if,talk_2150_en_intra,5670..5672
as,talk_1971_en,427..429
as,talk_1971_en,752..754
because,talk_1971_en,1023..1030
if,talk_1971_en,1619..1621
when,talk_1971_en,1751..1755
because,talk_1927_en,431..438
if,talk_1927_en,1554..1556
if,talk_1927_en,2733..2735
and,talk_1927_en,3726..3729
and,talk_1927_en,3800..3803
and,talk_1927_en,4074..4077
if,talk_1927_en,5448..5450
if,talk_1927_en,6894..6896
if,talk_1927_en,7883..7885
and,talk_1927_en,8130..8133
because,talk_1927_en,9641..9648
when,talk_1976_en,795..799
as,talk_1976_en,822..824
and,talk_1976_en,1114..1117
because,talk_1976_en,1226..1233
and,talk_1976_en,3187..3190
because,talk_1976_en,3618..3625
because,talk_1976_en,3676..3683
if,talk_1976_en,3974..3976
so,talk_1976_en,4022..4024
if,talk_1976_en,4239..4241
if,talk_1976_en,4291..4293
and,talk_1976_en,4854..4857
if,talk_1976_en,5933..5935
if,talk_1976_en,5985..5987
if,talk_1976_en,6139..6141
because,talk_1976_en,6812..6819
