Offset-raw,filename,ConnSpanList
and,talk_1927_en,802..805
and,talk_1927_en,4008..4011
if,talk_1927_en,7883..7885
or,talk_1927_en,8070..8072
if,talk_1927_en,8934..8936
because,talk_1927_en,431..438
But,talk_1927_en,1531..1534
and,talk_1927_en,3084..3087
and,talk_1927_en,3683..3686
and,talk_1927_en,3726..3729
So,talk_1927_en,3918..3920
But,talk_1927_en,5359..5362
and,talk_1927_en,5486..5489
and,talk_1927_en,6114..6117
because,talk_1927_en,9641..9648
However,talk_1971_en,220..227
but,talk_1976_en,625..628
and,talk_1976_en,1092..1095
and,talk_1976_en,1114..1117
because,talk_1976_en,3618..3625
because,talk_1976_en,3676..3683
and,talk_1976_en,5028..5031
but,talk_1976_en,5929..5932
and,talk_1976_en,6522..6525
because,talk_1976_en,6812..6819
when,talk_1976_en,795..799
and,talk_1976_en,2544..2547
and,talk_1976_en,4346..4349
and,talk_1976_en,4592..4595
and,talk_1976_en,5818..5821
also,talk_2150_en_inter,3921..3925
But,talk_2150_en_inter,3571..3574
and,talk_2150_en_intra,357..360
When,talk_2150_en_intra,92..96
also,talk_2150_en_intra,815..819
because,talk_2150_en_intra,1147..1154
and,talk_2150_en_intra,4072..4075
and,talk_2150_en_intra,4707..4710
and,talk_2150_en_intra,1647..1650
