Offset-raw,filename,ConnSpanList
but,talk_2150_en_intra,303..306
because,talk_2150_en_intra,1146..1153
and,talk_2150_en_intra,2259..2262
and,talk_2150_en_intra,3042..3045
and,talk_2150_en_intra,4071..4074
and,talk_2150_en_intra,4647..4650
and,talk_2150_en_intra,4706..4709
if,talk_2150_en_intra,5104..5106
if,talk_2150_en_intra,5371..5373
and,talk_2150_en_intra,5650..5653
if,talk_2150_en_intra,5669..5671
as,talk_1971_en,426..428
as,talk_1971_en,751..753
because,talk_1971_en,1022..1029
if,talk_1971_en,1618..1620
when,talk_1971_en,1750..1754
because,talk_1927_en,430..437
if,talk_1927_en,1553..1555
if,talk_1927_en,2732..2734
and,talk_1927_en,3725..3728
and,talk_1927_en,3799..3802
and,talk_1927_en,4073..4076
if,talk_1927_en,5447..5449
if,talk_1927_en,6893..6895
if,talk_1927_en,7882..7884
and,talk_1927_en,8129..8132
because,talk_1927_en,9640..9647
when,talk_1976_en,794..798
as,talk_1976_en,821..823
and,talk_1976_en,1113..1116
because,talk_1976_en,1225..1232
and,talk_1976_en,3186..3189
because,talk_1976_en,3617..3624
because,talk_1976_en,3675..3682
if,talk_1976_en,3973..3975
so,talk_1976_en,4021..4023
if,talk_1976_en,4238..4240
if,talk_1976_en,4290..4292
and,talk_1976_en,4853..4856
if,talk_1976_en,5932..5934
if,talk_1976_en,5984..5986
if,talk_1976_en,6138..6140
because,talk_1976_en,6811..6818
