,pdtb_TP,pdtb_FP,pdtb_FN,conll2015_TP,conll2015_FP,conll2015_FN,syntactic_FN,heuristic_TP,heuristic_FP,syntactic_TP,syntactic_FP,heuristic_FN
and,85.0,24.0,41.0,19.0,47.0,107.0,126.0,126.0,154.0,0.0,0.0,0.0
but,38.0,9.0,9.0,5.0,5.0,42.0,47.0,47.0,11.0,0.0,0.0,0.0
if,20.0,13.0,3.0,2.0,2.0,21.0,3.0,23.0,18.0,20.0,12.0,0.0
because,16.0,5.0,0.0,6.0,3.0,10.0,1.0,16.0,5.0,15.0,4.0,0.0
so,10.0,12.0,9.0,1.0,8.0,18.0,17.0,19.0,37.0,2.0,1.0,0.0
when,7.0,11.0,1.0,2.0,3.0,6.0,2.0,8.0,11.0,6.0,9.0,0.0
then,7.0,4.0,0.0,0.0,2.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0
as,7.0,0.0,2.0,0.0,9.0,9.0,3.0,9.0,38.0,6.0,6.0,0.0
also,5.0,4.0,1.0,2.0,2.0,4.0,6.0,6.0,4.0,0.0,0.0,0.0
or,3.0,1.0,4.0,1.0,6.0,6.0,7.0,7.0,11.0,0.0,0.0,0.0
though,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0
in fact,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
while,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
in short,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
so that,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0
since,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
however,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
until,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
as if,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
if then,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in other words,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indeed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
still,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,16.0,0.0,0.0,0.0
rather,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
on the one hand,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
in order,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
through,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0
in,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,155.0,0.0,0.0,0.0
than,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0
especially when,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
for,0.0,0.0,1.0,0.0,12.0,1.0,1.0,1.0,36.0,0.0,0.0,0.0
at the same time,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
where,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0
with,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,40.0,0.0,0.0,0.0
at,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,60.0,0.0,0.0,0.0
clearly,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
that's why,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
but indeed,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
lastly,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
next,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
later,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earlier,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
further,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
after,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
