Offset-raw,filename,ConnSpanList
because,138670.txt,1444..1451
while,138670.txt,2067..2072
whereas,138670.txt,4484..4491
and,138670.txt,5986..5989
when,138670.txt,6622..6626
and,138670.txt,6763..6766
because,138670.txt,7627..7634
when,138670.txt,9245..9249
therefore,138670.txt,900..909
instead,138670.txt,2311..2318
Moreover,138670.txt,3451..3459
Indeed,138670.txt,4636..4642
So,138670.txt,7127..7129
Indeed,138670.txt,7557..7563
Thus,138670.txt,7761..7765
However,138670.txt,8651..8658
Still,138670.txt,8808..8813
as,115840.txt,1141..1143
as,115840.txt,4192..4194
as,115840.txt,4616..4618
and,115840.txt,7039..7042
then,115840.txt,7043..7047
and,115840.txt,9387..9390
but,115840.txt,9643..9646
After,115840.txt,10273..10278
because,115840.txt,11340..11347
but,115840.txt,11336..11339
when,115840.txt,11277..11281
and,115840.txt,12555..12558
but,115840.txt,13062..13065
Whereas,115840.txt,13760..13767
as,115840.txt,14531..14533
also,115840.txt,14834..14838
if,115840.txt,15142..15144
if,115840.txt,15532..15534
Although,115840.txt,15712..15720
and,115840.txt,15887..15890
when,115840.txt,16478..16482
but,115840.txt,16710..16713
because,115840.txt,16900..16907
when,115840.txt,17354..17358
but,115840.txt,18368..18371
because,115840.txt,19143..19150
but,115840.txt,19139..19142
if,115840.txt,19310..19312
therefore,115840.txt,20254..20263
Although,115840.txt,20672..20680
and,115840.txt,20820..20823
when,115840.txt,21503..21507
and,115840.txt,21799..21802
or,115840.txt,22137..22139
When,115840.txt,22097..22101
when,115840.txt,22543..22547
Because,115840.txt,22596..22603
whereas,115840.txt,23162..23169
Whereas,115840.txt,23504..23511
As,115840.txt,24197..24199
and,115840.txt,25302..25305
also,115840.txt,1099..1103
However,115840.txt,1929..1936
nevertheless,115840.txt,3099..3111
However,115840.txt,4183..4190
then,115840.txt,8491..8495
also,115840.txt,9123..9127
also,115840.txt,10710..10714
also,115840.txt,12530..12534
thus,115840.txt,12695..12699
therefore,115840.txt,14971..14980
However,115840.txt,16985..16992
Thus,115840.txt,17309..17313
However,115840.txt,18012..18019
However,115840.txt,19913..19920
also,115840.txt,21237..21241
However,115840.txt,22377..22384
also,115840.txt,24329..24333
also,115840.txt,24926..24930
Since,1403772.txt,1148..1153
whereas,1403772.txt,2057..2064
therefore,1403772.txt,6091..6100
so,1403772.txt,10536..10538
and,1403772.txt,12603..12606
and,1403772.txt,13821..13824
therefore,1403772.txt,13825..13834
and,1403772.txt,14806..14809
therefore,1403772.txt,14810..14819
Although,1403772.txt,15180..15188
and,1403772.txt,15354..15357
therefore,1403772.txt,15358..15367
and,1403772.txt,15554..15557
thereby,1403772.txt,16086..16093
thus,1403772.txt,17117..17121
although,1403772.txt,17402..17410
Although,1403772.txt,17862..17870
then,1403772.txt,20846..20850
except,1403772.txt,21971..21977
before,1403772.txt,24133..24139
and,1403772.txt,25275..25278
before,1403772.txt,27106..27112
then,1403772.txt,30714..30718
also,1403772.txt,3137..3141
Furthermore,1403772.txt,4119..4130
therefore,1403772.txt,6148..6157
also,1403772.txt,7608..7612
also,1403772.txt,7713..7717
However,1403772.txt,7885..7892
also,1403772.txt,8130..8134
Thus,1403772.txt,8381..8385
then,1403772.txt,8542..8546
Therefore,1403772.txt,8982..8991
However,1403772.txt,9752..9759
However,1403772.txt,10128..10135
Thus,1403772.txt,10225..10229
next,1403772.txt,11385..11389
Moreover,1403772.txt,12837..12845
Thus,1403772.txt,13450..13454
Indeed,1403772.txt,14977..14983
thus,1403772.txt,16239..16243
also,1403772.txt,16889..16893
Furthermore,1403772.txt,17021..17032
Indeed,1403772.txt,17216..17222
however,1403772.txt,17388..17395
and,1134656.txt,1646..1649
Although,1134656.txt,2232..2240
and,1134656.txt,2954..2957
specifically,1134656.txt,5104..5116
Since,1134656.txt,11134..11139
whereas,1134656.txt,13149..13156
thus,1134656.txt,13816..13820
and,1134656.txt,14181..14184
Since,1134656.txt,15637..15642
since,1134656.txt,16695..16700
since,1134656.txt,17177..17182
Whereas,1134656.txt,23967..23974
and,1134656.txt,24367..24370
and,1134656.txt,27849..27852
since,1134656.txt,27853..27858
since,1134656.txt,28106..28111
and,1134656.txt,28758..28761
and,1134656.txt,29435..29438
since,1134656.txt,29607..29612
since,1134656.txt,30878..30883
and,1134656.txt,36199..36202
and,1134656.txt,36459..36462
since,1134656.txt,37683..37688
When,1134656.txt,40446..40450
when,1134656.txt,46174..46178
also,1134656.txt,7931..7935
Further,1134656.txt,8848..8855
Furthermore,1134656.txt,10845..10856
Finally,1134656.txt,10917..10924
however,1134656.txt,14065..14072
therefore,1134656.txt,17398..17407
Moreover,1134656.txt,22157..22165
also,1134656.txt,26335..26339
Moreover,1134656.txt,27006..27014
however,1134656.txt,28043..28050
Similarly,1134656.txt,28488..28497
therefore,1134656.txt,28953..28962
Consequently,1134656.txt,29536..29548
However,1134656.txt,30012..30019
Further,1134656.txt,30966..30973
Finally,1134656.txt,32005..32012
Further,1134656.txt,38237..38244
then,1134656.txt,42461..42465
Consequently,1134656.txt,45913..45925
Although,1513057.txt,1776..1784
and,1513057.txt,6878..6881
and,1513057.txt,8169..8172
After,1513057.txt,8767..8772
and,1513057.txt,9676..9679
then,1513057.txt,9882..9886
and,1513057.txt,10076..10079
and,1513057.txt,14118..14121
and,1513057.txt,15436..15439
Whereas,1513057.txt,16893..16900
although,1513057.txt,18308..18316
whereas,1513057.txt,19929..19936
also,1513057.txt,21307..21311
and,1513057.txt,22441..22444
then,1513057.txt,24514..24518
After,1513057.txt,24942..24947
Moreover,1513057.txt,876..884
Thus,1513057.txt,964..968
also,1513057.txt,1250..1254
However,1513057.txt,1559..1566
However,1513057.txt,2124..2131
also,1513057.txt,2885..2889
then,1513057.txt,5890..5894
then,1513057.txt,6743..6747
then,1513057.txt,7890..7894
then,1513057.txt,8644..8648
then,1513057.txt,10142..10146
then,1513057.txt,10397..10401
then,1513057.txt,11391..11395
next,1513057.txt,13172..13176
also,1513057.txt,13326..13330
Thus,1513057.txt,18067..18071
Moreover,1513057.txt,18176..18184
Thus,1513057.txt,19754..19758
However,1513057.txt,19920..19927
Alternatively,1513057.txt,20357..20370
Thus,1513057.txt,20640..20644
However,1513057.txt,20996..21003
Moreover,1513057.txt,22349..22357
However,1513057.txt,22658..22665
However,1513057.txt,23151..23158
and,126271.txt,805..808
because,126271.txt,2816..2823
because,126271.txt,2866..2873
Though,126271.txt,2784..2790
thus,126271.txt,2917..2921
also,126271.txt,3356..3360
thus,126271.txt,4677..4681
although,126271.txt,5053..5061
and,126271.txt,5461..5464
as,126271.txt,5544..5546
and,126271.txt,5653..5656
thus,126271.txt,5733..5737
and,126271.txt,5824..5827
Because,126271.txt,6549..6556
if,126271.txt,6642..6644
after,126271.txt,8263..8268
and,126271.txt,8259..8262
and,126271.txt,8840..8843
after,126271.txt,10038..10043
and,126271.txt,10034..10037
when,126271.txt,10612..10616
Because,126271.txt,11551..11558
and,126271.txt,11766..11769
After,126271.txt,13092..13097
and,126271.txt,13161..13164
and,126271.txt,13897..13900
if,126271.txt,13869..13871
and,126271.txt,14134..14137
then,126271.txt,14471..14475
and,126271.txt,14702..14705
until,126271.txt,14621..14626
and,126271.txt,16065..16068
whereas,126271.txt,18383..18390
While,126271.txt,18425..18430
therefore,126271.txt,19215..19224
and,126271.txt,19939..19942
and,126271.txt,20802..20805
but,126271.txt,21069..21072
Since,126271.txt,21237..21242
whereas,126271.txt,21554..21561
as,126271.txt,22063..22065
Although,126271.txt,22632..22640
as,126271.txt,23055..23057
and,126271.txt,24594..24597
also,126271.txt,1793..1797
also,126271.txt,2517..2521
but,126271.txt,3110..3113
thus,126271.txt,6723..6727
also,126271.txt,9787..9791
and,126271.txt,16210..16213
Nevertheless,126271.txt,21960..21972
also,126271.txt,22446..22450
However,126271.txt,23046..23053
Although,1065338.txt,1368..1376
As,1065338.txt,1571..1573
Although,1065338.txt,3381..3389
although,1065338.txt,5223..5231
once,1065338.txt,7360..7364
thereby,1065338.txt,7404..7411
and,1065338.txt,7867..7870
because,1065338.txt,7683..7690
because,1065338.txt,8791..8798
and,1065338.txt,9114..9117
When,1065338.txt,10348..10352
whereas,1065338.txt,11004..11011
because,1065338.txt,11778..11785
Although,1065338.txt,13255..13263
Although,1065338.txt,13898..13906
thereby,1065338.txt,14068..14075
but,1065338.txt,14470..14473
and,1065338.txt,15653..15656
if,1065338.txt,17536..17538
Although,1065338.txt,18378..18386
Although,1065338.txt,19044..19052
when,1065338.txt,19593..19597
then,1065338.txt,19756..19760
and,1065338.txt,21407..21410
although,1065338.txt,22093..22101
but,1065338.txt,23426..23429
Although,1065338.txt,23499..23507
and,1065338.txt,23703..23706
also,1065338.txt,24611..24615
then,1065338.txt,25834..25838
also,1065338.txt,1668..1672
However,1065338.txt,3152..3159
also,1065338.txt,4304..4308
Moreover,1065338.txt,4695..4703
Moreover,1065338.txt,5332..5340
Thus,1065338.txt,5569..5573
Nonetheless,1065338.txt,8854..8865
Moreover,1065338.txt,12840..12848
Nonetheless,1065338.txt,15210..15221
Conversely,1065338.txt,16214..16224
Moreover,1065338.txt,16844..16852
However,1065338.txt,17139..17146
Moreover,1065338.txt,19484..19492
However,1065338.txt,21538..21545
Nonetheless,1065338.txt,22132..22143
However,1065338.txt,23768..23775
Moreover,1065338.txt,24531..24539
and,1065313.txt,1188..1191
While,1065313.txt,1042..1047
and,1065313.txt,2235..2238
While,1065313.txt,2277..2282
Although,1065313.txt,2511..2519
While,1065313.txt,2780..2785
but,1065313.txt,3960..3963
Since,1065313.txt,4078..4083
and,1065313.txt,4494..4497
Since,1065313.txt,4284..4289
and,1065313.txt,9543..9546
then,1065313.txt,10697..10701
and,1065313.txt,11257..11260
Whereas,1065313.txt,13057..13064
and,1065313.txt,13520..13523
While,1065313.txt,13607..13612
although,1065313.txt,14084..14092
Whereas,1065313.txt,14619..14626
and,1065313.txt,15152..15155
Since,1065313.txt,16258..16263
Although,1065313.txt,17131..17139
and,1065313.txt,17304..17307
whereas,1065313.txt,19040..19047
although,1065313.txt,19522..19530
whereas,1065313.txt,20357..20364
but,1065313.txt,21454..21457
Whereas,1065313.txt,21590..21597
and,1065313.txt,22114..22117
and,1065313.txt,22985..22988
and,1065313.txt,23340..23343
therefore,1065313.txt,24210..24219
but,1065313.txt,24917..24920
As,1065313.txt,25446..25448
or,1065313.txt,25759..25761
Although,1065313.txt,26184..26192
and,1065313.txt,29795..29798
Thus,1065313.txt,1339..1343
also,1065313.txt,4372..4376
also,1065313.txt,12652..12656
However,1065313.txt,13732..13739
However,1065313.txt,15619..15626
Thus,1065313.txt,17660..17664
therefore,1065313.txt,18369..18378
Thus,1065313.txt,18978..18982
However,1065313.txt,19718..19725
Thus,1065313.txt,19908..19912
Furthermore,1065313.txt,21946..21957
Moreover,1065313.txt,23290..23298
Furthermore,1065313.txt,23942..23953
However,1065313.txt,25699..25706
However,1065313.txt,26983..26990
