Offset-raw,filename,ConnSpanList
If,talk-1978-en.txt,485..487
in fact,talk-1978-en.txt,663..670
and,talk-1978-en.txt,744..747
because,talk-1978-en.txt,774..781
but,talk-1978-en.txt,897..900
But,talk-1978-en.txt,958..961
when,talk-1978-en.txt,1163..1167
in order,talk-1978-en.txt,1397..1405
and,talk-1978-en.txt,1495..1498
as,talk-1978-en.txt,1507..1509
and,talk-1978-en.txt,1559..1562
And,talk-1978-en.txt,1703..1706
and,talk-1978-en.txt,1722..1725
but,talk-1978-en.txt,1734..1737
as,talk-1978-en.txt,1755..1757
and,talk-1978-en.txt,1791..1794
but,talk-1978-en.txt,1830..1833
as,talk-1978-en.txt,1949..1951
and,talk-1978-en.txt,2022..2025
and,talk-1978-en.txt,2039..2042
And,talk-1978-en.txt,2220..2223
and,talk-1978-en.txt,2320..2323
then,talk-1978-en.txt,2324..2328
and,talk-1978-en.txt,2337..2340
then,talk-1978-en.txt,2341..2345
and,talk-1978-en.txt,2356..2359
then,talk-1978-en.txt,2360..2364
And,talk-1978-en.txt,2408..2411
and,talk-1978-en.txt,2447..2450
in order,talk-1978-en.txt,2953..2961
But,talk-1978-en.txt,3023..3026
because,talk-1978-en.txt,3036..3043
but,talk-1978-en.txt,3181..3184
if,talk-1978-en.txt,3226..3228
though,talk-1978-en.txt,3306..3312
but,talk-1978-en.txt,3470..3473
while,talk-1978-en.txt,3658..3663
with,talk-1978-en.txt,3807..3811
but,talk-1978-en.txt,4013..4016
and,talk-1978-en.txt,4181..4184
when,talk-1978-en.txt,4263..4267
and,talk-1978-en.txt,4457..4460
and,talk-1978-en.txt,4814..4817
and,talk-1978-en.txt,4872..4875
and,talk-1978-en.txt,5095..5098
but,talk-1978-en.txt,5368..5371
because,talk-1978-en.txt,5688..5695
when,talk-1978-en.txt,5886..5890
and,talk-1978-en.txt,5953..5956
but,talk-1978-en.txt,6021..6024
and,talk-1978-en.txt,6288..6291
and,talk-1978-en.txt,6435..6438
and,talk-1978-en.txt,6611..6614
and,talk-1978-en.txt,6698..6701
so,talk-1978-en.txt,6702..6704
and,talk-1978-en.txt,6780..6783
and,talk-1978-en.txt,6944..6947
